Id,SalePrice
2658,123759.62106232859
2718,180158.26009487687
2414,201782.78047403012
1989,112591.38221228268
625,177288.3435223236
333,93238.9971389301
1327,116809.83619778737
858,148987.10480531747
95,189249.46318728937
1568,157057.37340124298
2482,161156.72154790885
1364,116412.20604379266
2584,161294.02075817855
818,262432.7344773835
2673,170188.7209269473
2089,118036.62874388862
1297,141868.77306613588
790,118539.84392073806
2616,187553.00703663522
720,199337.55124689784
222,142969.01187588018
557,114594.46311849187
1148,205598.2816180246
2766,163404.65393658084
534,187345.17501728487
1452,112319.20445471934
630,141423.61932796516
2648,128208.27246038783
125,142109.72010572068
1904,79555.90838066774
1670,115964.24038863502
756,93018.72203364593
717,265388.9315000875
1032,157674.97410251808
852,229056.6630223473
1731,180922.29443064952
2639,113813.28918638412
2071,97310.45269192738
1267,115082.38406299095
1851,199240.4899635168
567,153615.00748805824
2439,217217.0208139804
1898,150157.4639981644
647,155322.38819366542
2256,212341.41305267834
979,103472.67218390557
1444,222987.2144693329
2485,108748.11926058517
157,134424.13086866745
88,124825.10748222313
2003,109458.677346589
186,195107.35266803572
1425,263157.8801057015
2695,126905.88785180946
738,108651.08755178741
395,151945.64537491993
1353,154766.01564412788
1878,146627.9970306913
390,163573.48853253655
1456,232866.05422167818
1103,318755.7515001254
1387,110864.35805474845
2070,147015.57225037517
1199,177682.08221797086
2479,167710.97159112018
501,320606.4886221719
2362,105507.08938429528
1718,192708.0294960716
2188,77214.11797977507
1483,139826.68027051628
2557,86217.1603337997
437,368280.0495058446
2224,203309.22071850795
1628,176550.28192889562
397,136270.19772473347
587,209688.02142631682
2182,780635.3400648066
971,144200.18874217244
2611,148514.84974683187
1887,109987.57237681762
2399,370819.4278665033
2148,219139.3812765725
304,119667.8853415506
1997,128422.12399390251
2817,124735.84953537675
1431,184473.48878372912
427,411565.78519104864
263,114321.65857553453
598,179180.84440836715
2895,249434.89520204067
687,146875.0448817238
1822,131222.9274678515
2191,113282.30716362735
179,132005.85882730773
1009,208522.10568286275
2010,126629.35484407071
1991,138011.06051048246
1411,156757.468534576
1721,239515.45334740536
1144,184514.6569147495
593,205732.5166247974
575,308789.34775457147
1249,177280.66460685723
1604,125009.00663429277
1064,478409.8081373159
1923,149710.41980916282
1988,91528.16297870991
2325,170471.43667734
114,206015.65106844433
2700,166130.48564079078
217,122710.68718912726
343,175784.39636383366
386,238703.90438681858
2005,121479.2848130319
2908,154128.14874813045
1814,228395.7956511832
2446,514222.68332655646
208,141206.98950172923
1679,113090.60753085323
822,342260.87966309034
6,181465.01960056432
1781,420688.40023414185
2397,289848.3854408754
2340,301688.30233748636
1618,172605.3278435711
2843,132901.2779663521
1061,372672.7580975798
2786,118192.78690296099
1935,134252.8155712968
1341,114453.10808298434
521,290209.09666407295
2136,136582.80408696318
996,181357.69138051625
227,142572.89611088543
135,171721.37994749128
1167,157802.62128887614
294,245240.17367799318
1776,198345.17833846275
540,176014.62389596942
1717,192703.71018157038
2303,139721.18928189817
116,180384.90278278786
127,136774.1532813534
1371,129852.16087290448
1014,182121.07614409717
1507,103853.89990436625
702,135774.92585789526
750,141076.88393205425
261,153174.8826537947
1559,86326.94314325547
577,231003.02625895015
2812,204728.25862831582
2080,151760.47250157714
1368,107125.08211772057
2376,126237.72959357608
659,104383.87592853495
1235,121668.79534518809
332,84168.26301449585
1917,143259.2977791983
2094,259593.31421263213
1460,281577.2160756608
1471,208379.6974366969
1509,128212.96895577782
1922,133441.16034518369
433,500548.7360445806
460,281856.2427132866
1116,252914.90672203636
1137,162998.45565589174
53,169839.57646857723
2354,252741.36500980088
1475,199757.73996122033
1761,591849.9265300971
842,135797.46208069153
2739,170170.39548743994
2509,151977.8509830774
1007,212395.56206156683
2610,180863.4482534456
1952,78431.76560857202
2719,165997.67248040964
2921,85509.03754107722
1966,132382.16167144588
292,126807.44410566846
1204,179306.34207994433
1829,253241.787238086
2419,184886.91883411515
391,161862.64857301512
798,118219.55275346816
481,187627.83436650035
193,211675.5614153581
555,121721.71648567598
899,88886.88800018019
2357,178502.73334026604
328,116109.90121431946
1356,125566.4525655613
1154,116938.5176082864
1730,175483.089924522
2249,148045.5709804038
1119,260875.46998867986
2856,135506.3402902587
1394,145771.52289238837
2587,122072.0568763751
61,355774.19664682413
2661,170678.74232661346
2711,132678.01891310106
1147,180165.36022660058
757,128643.90745569182
2623,100241.50967858889
2378,144459.44548451577
1413,140105.49300886743
1722,222107.8754134117
1112,223308.48883830378
1623,183924.7372131624
1201,191014.04313480153
1513,113617.31148974178
957,140394.2707673654
1171,258525.84665730095
1145,192821.3264871319
2726,238399.59470179607
703,138645.49817907953
760,85284.39276199031
1964,137287.92098423402
2512,170040.64586596025
